,School,State,ACT_Score,SAT_Score,Retention_Rate,Ave_Earning,Graduation_Rate
112,University of Colorado Boulder,CO,28.0,1281.0,0.8752,49393.0,0.4745
113,Colorado School of Mines,CO,31.0,1383.0,0.9206,76135.0,0.5911
114,Colorado State University-Fort Collins,CO,26.0,1197.0,0.8276,44704.0,0.4537
115,University of Denver,CO,29.0,1300.0,0.8753,51490.0,0.6725
116,Fort Lewis College,CO,21.0,1094.0,0.619,34192.0,0.2569
117,Colorado Mesa University,CO,21.0,1022.0,0.7431,34519.0,0.1826
118,Metropolitan State University of Denver,CO,20.0,1016.0,0.6538,40336.0,0.0811
119,University of Northern Colorado,CO,22.0,1099.0,0.7209,39460.0,0.2802
120,Regis University,CO,24.0,1160.0,0.7926,57824.0,0.5165
121,Colorado State University Pueblo,CO,21.0,1040.0,0.6841,42908.0,0.1794
122,Western Colorado University,CO,22.0,1095.0,0.6966,34914.0,0.2422
123,Albertus Magnus College,CT,18.0,931.0,0.6783,44705.0,0.4862
124,University of Bridgeport,CT,20.0,997.0,0.674,39809.0,0.3029
125,Central Connecticut State University,CT,22.0,1076.0,0.7389,47806.0,0.2636
126,Connecticut College,CT,31.0,1380.0,0.9077,53562.0,0.7773
127,University of Connecticut,CT,29.0,1318.0,0.9306,56144.0,0.7264
128,University of Hartford,CT,25.0,1160.0,0.7614,40544.0,0.4875
129,University of New Haven,CT,23.0,1129.0,0.7621,45887.0,0.5394
130,Quinnipiac University,CT,26.0,1190.0,0.863,60948.0,0.7253
131,Southern Connecticut State University,CT,21.0,1027.0,0.7169,42096.0,0.2349
132,Trinity College,CT,31.0,1386.0,0.9069,61447.0,0.7766
133,Yale University,CT,34.0,1517.0,0.9892,72046.0,0.8767
134,Delaware State University,DE,20.0,938.0,0.7242,35178.0,0.2593
135,University of Delaware,DE,28.0,1267.0,0.9013,57091.0,0.7223
136,Wesley College,DE,18.0,925.0,0.5949,34960.0,0.1944
137,American University,DC,29.0,1320.0,0.8784,55945.0,0.5426
138,Gallaudet University,DC,18.0,955.0,0.7166,28704.0,0.2642
139,George Washington University,DC,31.0,1380.0,0.929,62584.0,0.7384
140,Georgetown University,DC,33.0,1456.0,0.9624,71107.0,0.894
141,Howard University,DC,25.0,1210.0,0.8474,43792.0,0.4557
142,The Baptist College of Florida,FL,20.0,972.0,0.7568,28791.0,0.3556
143,Barry University,FL,20.0,1024.0,0.6153,43282.0,0.1929
144,Lynn University,FL,22.0,1086.0,0.7152,35541.0,0.4818
145,Johnson University Florida,FL,19.0,1006.0,0.5577,29794.0,0.1772
146,University of Central Florida,FL,27.0,1261.0,0.9038,43759.0,0.4358
147,Eckerd College,FL,26.0,1205.0,0.8172,36733.0,0.6269
148,Edward Waters University,FL,17.0,931.0,0.5422,25404.0,0.1048
149,Florida Agricultural and Mechanical University,FL,21.0,1097.0,0.806,33022.0,0.1829
150,Florida Atlantic University,FL,23.0,1159.0,0.8228,43006.0,0.256
151,Flagler College,FL,23.0,1134.0,0.6871,38042.0,0.4372
152,Florida College,FL,23.0,1101.0,0.6154,33351.0,0.2041
153,AdventHealth University,FL,20.0,1016.0,0.6628,55486.0,0.1379
154,Florida Institute of Technology,FL,28.0,1264.0,0.805,31824.0,0.5007
155,Florida International University,FL,25.0,1185.0,0.9017,44401.0,0.2814
156,Florida Southern College,FL,26.0,1230.0,0.817,42919.0,0.5746
157,Florida State University,FL,28.0,1289.0,0.9263,45061.0,0.6602
158,University of Florida,FL,30.0,1362.0,0.9669,51324.0,0.6833
159,Jacksonville University,FL,24.0,1185.0,0.7718,49380.0,0.4048
160,University of Miami,FL,31.0,1365.0,0.9236,54383.0,0.6976
161,University of North Florida,FL,24.0,1195.0,0.8157,42012.0,0.3293
162,Nova Southeastern University,FL,25.0,1196.0,0.7941,43703.0,0.394
163,Palm Beach Atlantic University,FL,23.0,1126.0,0.7467,37275.0,0.4496
164,Saint Leo University,FL,23.0,1079.0,0.7178,38661.0,0.3924
165,University of South Florida,FL,28.0,1265.0,0.9133,43307.0,0.5515
166,St. Thomas University,FL,19.0,1031.0,0.7249,40201.0,0.2967
167,Southeastern University,FL,21.0,1069.0,0.7175,33764.0,0.2598
168,The University of Tampa,FL,25.0,1182.0,0.763,43360.0,0.5023
169,Trinity Baptist College,FL,18.0,945.0,0.5179,30763.0,0.3061
170,Trinity College of Florida,FL,18.0,973.0,0.4,26391.0,0.2
171,Warner University,FL,19.0,996.0,0.5494,35080.0,0.1553
172,Webber International University,FL,19.0,981.0,0.4855,35291.0,0.2059
173,The University of West Florida,FL,25.0,1189.0,0.7964,35816.0,0.22
174,Abraham Baldwin Agricultural College,GA,20.0,1032.0,0.6352,27009.0,0.1074
175,Albany State University,GA,17.0,865.0,0.6202,29345.0,0.0828
176,Point University,GA,19.0,998.0,0.515,31777.0,0.2059
177,Clark Atlanta University,GA,20.0,1032.0,0.6978,31735.0,0.3381
178,Berry College,GA,26.0,1232.0,0.8406,38255.0,0.6036
179,Brenau University,GA,20.0,1031.0,0.5118,39398.0,0.3234
